DATE,GOLDAMGBD228NLBM
2012-12-27,1655.250
2012-12-28,1658.750
2012-12-31,1664.000
2013-01-01,.
2013-01-02,1681.500
2013-01-03,1684.500
2013-01-04,1632.250
2013-01-07,1653.750
2013-01-08,1653.750
2013-01-09,1663.500
2013-01-10,1663.000
2013-01-11,1669.500
2013-01-14,1667.750
2013-01-15,1681.000
2013-01-16,1679.750
2013-01-17,1683.250
2013-01-18,1690.000
2013-01-21,1688.000
2013-01-22,1692.500
2013-01-23,1692.250
2013-01-24,1677.000
2013-01-25,1670.250
2013-01-28,1656.750
2013-01-29,1660.500
2013-01-30,1666.250
2013-01-31,1674.500
2013-02-01,1665.000
2013-02-04,1664.250
2013-02-05,1678.000
2013-02-06,1670.000
2013-02-07,1675.750
2013-02-08,1669.750
2013-02-11,1663.500
2013-02-12,1641.750
2013-02-13,1648.000
2013-02-14,1644.000
2013-02-15,1629.250
2013-02-18,1611.250
2013-02-19,1613.500
2013-02-20,1602.000
2013-02-21,1568.500
2013-02-22,1580.000
2013-02-25,1592.500
2013-02-26,1597.250
2013-02-27,1608.500
2013-02-28,1591.000
2013-03-01,1570.000
2013-03-04,1578.000
2013-03-05,1584.250
2013-03-06,1574.000
2013-03-07,1580.500
2013-03-08,1577.000
2013-03-11,1577.500
2013-03-12,1582.500
2013-03-13,1591.500
2013-03-14,1585.000
2013-03-15,1593.250
2013-03-18,1599.500
2013-03-19,1602.500
2013-03-20,1611.500
2013-03-21,1608.750
2013-03-22,1611.500
2013-03-25,1602.250
2013-03-26,1597.250
2013-03-27,1591.000
2013-03-28,1602.500
2013-03-29,.
2013-04-01,.
2013-04-02,1597.750
2013-04-03,1568.500
2013-04-04,1545.250
2013-04-05,1552.750
2013-04-08,1577.250
2013-04-09,1572.500
2013-04-10,1581.500
2013-04-11,1555.750
2013-04-12,1548.000
2013-04-15,1416.000
2013-04-16,1378.000
2013-04-17,1379.000
2013-04-18,1397.000
2013-04-19,1414.000
2013-04-22,1425.000
2013-04-23,1417.250
2013-04-24,1424.500
2013-04-25,1446.500
2013-04-26,1462.250
2013-04-29,1472.500
2013-04-30,1472.750
2013-05-01,1469.500
2013-05-02,1456.000
2013-05-03,1476.500
2013-05-06,.
2013-05-07,1463.000
2013-05-08,1454.000
2013-05-09,1469.500
2013-05-10,1449.250
2013-05-13,1429.750
2013-05-14,1436.500
2013-05-15,1412.250
2013-05-16,1377.000
2013-05-17,1376.750
2013-05-20,1353.750
2013-05-21,1378.750
2013-05-22,1385.250
2013-05-23,1386.000
2013-05-24,1385.250
2013-05-27,.
2013-05-28,1379.000
2013-05-29,1384.500
2013-05-30,1406.250
2013-05-31,1410.250
2013-06-03,1396.750
2013-06-04,1405.250
2013-06-05,1396.500
2013-06-06,1399.500
2013-06-07,1410.000
2013-06-10,1376.750
2013-06-11,1369.500
2013-06-12,1377.250
2013-06-13,1386.250
2013-06-14,1379.750
2013-06-17,1386.000
2013-06-18,1378.500
2013-06-19,1366.000
2013-06-20,1303.250
2013-06-21,1290.250
2013-06-24,1283.250
2013-06-25,1285.000
2013-06-26,1229.000
2013-06-27,1232.000
2013-06-28,1203.250
2013-07-01,1243.500
2013-07-02,1260.750
2013-07-03,1246.000
2013-07-04,1249.500
2013-07-05,1232.750
2013-07-08,1225.500
2013-07-09,1252.000
2013-07-10,1252.250
2013-07-11,1280.750
2013-07-12,1275.000
2013-07-15,1281.250
2013-07-16,1286.000
2013-07-17,1284.250
2013-07-18,1279.750
2013-07-19,1286.000
2013-07-22,1313.750
2013-07-23,1326.750
2013-07-24,1340.000
2013-07-25,1312.000
2013-07-26,1327.750
2013-07-29,1330.750
2013-07-30,1322.250
2013-07-31,1331.500
2013-08-01,1323.750
2013-08-02,1285.750
2013-08-05,1311.000
2013-08-06,1292.000
2013-08-07,1275.500
2013-08-08,1287.750
2013-08-09,1305.500
2013-08-12,1325.750
2013-08-13,1334.000
2013-08-14,1323.250
2013-08-15,1339.500
2013-08-16,1360.750
2013-08-19,1375.250
2013-08-20,1365.750
2013-08-21,1360.000
2013-08-22,1370.500
2013-08-23,1374.500
2013-08-26,.
2013-08-27,1411.000
2013-08-28,1425.500
2013-08-29,1406.250
2013-08-30,1392.750
2013-09-02,1391.250
2013-09-03,1391.250
2013-09-04,1403.750
2013-09-05,1391.750
2013-09-06,1368.250
2013-09-09,1386.000
2013-09-10,1373.000
2013-09-11,1365.250
2013-09-12,1340.250
2013-09-13,1308.250
2013-09-16,1314.750
2013-09-17,1317.250
2013-09-18,1299.750
2013-09-19,1363.500
2013-09-20,1355.250
2013-09-23,1321.750
2013-09-24,1316.500
2013-09-25,1320.250
2013-09-26,1332.500
2013-09-27,1321.500
2013-09-30,1335.750
2013-10-01,1332.250
2013-10-02,1293.750
2013-10-03,1309.000
2013-10-04,1316.000
2013-10-07,1311.000
2013-10-08,1321.000
2013-10-09,1309.500
2013-10-10,1298.000
2013-10-11,1285.750
2013-10-14,1276.000
2013-10-15,1255.500
2013-10-16,1278.250
2013-10-17,1308.500
2013-10-18,1317.000
2013-10-21,1316.000
2013-10-22,1311.750
2013-10-23,1333.000
2013-10-24,1336.250
2013-10-25,1341.750
2013-10-28,1351.000
2013-10-29,1346.750
2013-10-30,1349.500
2013-10-31,1333.750
2013-11-01,1314.750
2013-11-04,1314.250
2013-11-05,1311.250
2013-11-06,1317.000
2013-11-07,1316.000
2013-11-08,1309.000
2013-11-11,1283.750
2013-11-12,1281.000
2013-11-13,1276.000
2013-11-14,1283.250
2013-11-15,1281.750
2013-11-18,1283.500
2013-11-19,1272.250
2013-11-20,1271.500
2013-11-21,1248.500
2013-11-22,1241.750
2013-11-25,1231.750
2013-11-26,1250.750
2013-11-27,1250.750
2013-11-28,1241.750
2013-11-29,1245.250
2013-12-02,1237.500
2013-12-03,1219.000
2013-12-04,1213.000
2013-12-05,1234.000
2013-12-06,1230.750
2013-12-09,1228.500
2013-12-10,1245.750
2013-12-11,1255.250
2013-12-12,1243.500
2013-12-13,1222.750
2013-12-16,1229.500
2013-12-17,1237.250
2013-12-18,1233.250
2013-12-19,1205.250
2013-12-20,1195.000
2013-12-23,1192.750
2013-12-24,1196.500
2013-12-25,.
2013-12-26,.
2013-12-27,1209.250
2013-12-30,1201.500
2013-12-31,1201.500
2014-01-01,.
2014-01-02,1219.750
2014-01-03,1232.250
2014-01-06,1238.000
